Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
31,Bobby Abreu*,26,PHI,NL,6.2,154,680,576,103,182,42,10,25,79,28,8,100,116,0.316,0.416,0.554,0.97,143,0.425,145,319,12,1,0,3,9,*9/H,,abreubo01
32,Tim Salmon,31,ANA,AL,4.4,158,680,568,108,165,36,2,34,97,0,2,104,139,0.29,0.404,0.54,0.945,135,0.409,135,307,14,6,0,2,5,*9D/H,,salmoti01
33,Jermaine Dye,26,KCR,AL,4.6,157,679,601,107,193,41,2,33,118,0,1,69,99,0.321,0.39,0.561,0.951,135,0.41,134,337,12,3,0,6,6,*9D/H,ASGG,dyeje01
34,Bobby Higginson*,29,DET,AL,5.3,154,679,597,104,179,44,4,30,102,15,3,74,99,0.3,0.377,0.538,0.915,135,0.401,135,321,5,2,2,3,6,*7D,,higgibo02
35,Derek Jeter,26,NYY,AL,4.6,148,679,593,119,201,31,4,15,73,22,4,68,99,0.339,0.416,0.481,0.896,128,0.412,136,285,14,12,3,3,4,*6,ASMVP-10,jeterde01
36,Troy Glaus,23,ANA,AL,7.8,159,678,563,120,160,37,1,47,102,14,11,112,163,0.284,0.404,0.604,1.008,150,0.428,150,340,14,2,0,1,6,*5/6DH,ASSS,glaustr01
37,Jason Kendall,26,PIT,NL,4.5,152,678,579,112,185,33,6,14,58,22,12,79,79,0.32,0.412,0.47,0.882,124,0.401,133,272,13,15,1,4,3,*2/H,AS,kendaja01
38,Rafael Palmeiro*,35,TEX,AL,2.9,158,678,565,102,163,29,3,39,120,2,1,103,77,0.288,0.397,0.558,0.954,138,0.402,131,315,14,3,0,7,17,3D/H,,palmera01
39,Mark Grudzielanek,30,LAD,NL,1.7,148,676,617,101,172,35,6,7,49,12,3,45,81,0.279,0.335,0.389,0.724,88,0.34,93,240,16,9,2,3,0,*4/H6,,grudzma01
40,Ben Grieve*,24,OAK,AL,2.4,158,675,594,92,166,40,1,27,104,3,0,73,130,0.279,0.359,0.487,0.845,116,0.378,118,289,32,3,0,5,2,*7D/H,,grievbe01
41,Preston Wilson,25,FLA,NL,2,161,674,605,94,160,35,3,31,121,36,14,55,187,0.264,0.331,0.486,0.817,109,0.363,110,294,11,8,0,6,1,*8/H,,wilsopr01
42,Álex Rodríguez,24,SEA,AL,10.4,148,672,554,134,175,34,2,41,132,15,4,100,121,0.316,0.42,0.606,1.026,163,0.446,166,336,10,7,0,11,5,*6,ASMVP-3SS,rodrial01
43,Ronnie Belliard,25,MIL,NL,2.4,152,667,571,83,150,30,9,8,54,7,5,82,84,0.263,0.354,0.389,0.743,91,0.343,94,222,12,3,4,7,4,*4/H,,belliro01
44,Edgar Martínez,37,SEA,AL,5.7,153,665,556,100,180,31,0,37,145,3,0,96,95,0.324,0.423,0.579,1.002,158,0.436,161,322,13,5,0,8,8,*D/H3,ASMVP-6,martied01
45,Magglio Ordóñez,26,CHW,AL,2.7,153,665,588,102,185,34,3,32,126,18,4,60,64,0.315,0.371,0.546,0.917,127,0.403,128,321,28,2,0,15,3,*9/H,ASMVP-12SS,ordonma01
46,Joe Randa,30,KCR,AL,2.6,158,665,612,88,186,29,4,15,106,6,3,36,66,0.304,0.343,0.438,0.781,94,0.357,97,268,19,6,1,10,3,*5/DH,,randajo01
47,Tony Batista,26,TOR,AL,2.4,154,664,620,96,163,32,2,41,114,5,4,35,121,0.263,0.307,0.519,0.827,102,0.359,100,322,15,6,0,3,1,*5,AS,batisto01
48,Jason Giambi*,29,OAK,AL,7.8,152,664,510,108,170,29,1,43,137,2,0,137,96,0.333,0.476,0.647,1.123,187,0.477,187,330,9,9,0,8,6,*3D/H,ASMVP-1,giambja01
49,Matt Lawton*,28,MIN,AL,2.4,156,664,561,84,171,44,2,13,88,23,7,91,63,0.305,0.405,0.46,0.865,116,0.394,120,258,10,7,0,5,8,*97/DH8,AS,lawtoma02
50,Fred McGriff*,36,TBD,AL,0.2,158,664,566,82,157,18,0,27,106,2,0,91,120,0.277,0.373,0.452,0.826,110,0.362,105,256,16,0,0,7,10,*3D/H,AS,mcgrifr01
51,Eric Karros,32,LAD,NL,0.8,155,663,584,84,146,29,0,31,106,4,3,63,122,0.25,0.321,0.459,0.78,100,0.344,98,268,18,4,0,12,2,*3/DH,,karroer01
52,José Vidro#,25,MON,NL,3.8,153,663,606,101,200,51,2,24,97,5,4,49,69,0.33,0.379,0.54,0.918,126,0.404,131,327,17,2,0,6,4,*4,AS,vidrojo01
53,Tony Womack*,30,ARI,NL,0.2,146,659,617,95,167,21,14,7,57,45,11,30,74,0.271,0.307,0.384,0.692,71,0.327,70,237,6,5,2,5,0,*6/H9,,womacto01
54,Travis Fryman,31,CLE,AL,4.7,155,658,574,93,184,38,4,22,106,1,1,73,111,0.321,0.392,0.516,0.908,127,0.397,127,296,15,1,0,10,2,*5/3D,ASMVP-17GG,frymatr01
55,Edgardo Alfonzo,26,NYM,NL,6.4,150,650,544,109,176,40,2,25,94,3,2,95,70,0.324,0.425,0.542,0.967,147,0.431,156,295,12,5,0,6,1,*4/DH,ASMVP-15,alfoned01
56,Jay Bell,34,ARI,NL,0.8,149,649,565,87,151,30,6,18,68,7,3,70,88,0.267,0.348,0.437,0.786,94,0.352,92,247,7,3,6,5,0,*4/HD,,bellja01
57,José Valentín#,30,CHW,AL,4.9,144,648,568,107,155,37,6,25,92,19,2,59,106,0.273,0.343,0.491,0.835,107,0.374,107,279,11,4,13,4,1,*6/H9,,valenjo03
58,Richard Hidalgo,25,HOU,NL,6.3,153,644,558,118,175,42,3,44,122,13,6,56,110,0.314,0.391,0.636,1.028,147,0.434,147,355,13,21,0,9,3,*897/H,MVP-20,hidalri01
59,Mike Bordick,34,2TM,2LG,2.8,156,644,583,88,166,30,1,20,80,9,6,49,99,0.285,0.341,0.443,0.783,101,0.356,105,258,16,3,4,5,0,*6,AS,bordimi01
59,Mike Bordick,34,BAL,AL,2.6,100,433,391,70,116,22,1,16,59,6,5,34,71,0.297,0.35,0.481,0.831,113,0.374,119,188,12,1,2,5,0,6,,bordimi01
59,Mike Bordick,34,NYM,NL,0.2,56,211,192,18,50,8,0,4,21,3,1,15,28,0.26,0.321,0.365,0.685,76,0.318,76,70,4,2,2,0,0,6,,bordimi01
60,Mike Cameron,27,SEA,AL,4,155,643,543,96,145,28,4,19,78,24,7,78,133,0.267,0.365,0.438,0.803,108,0.366,111,238,10,9,7,6,0,*8/H9,,camermi01
61,Delino DeShields*,31,BAL,AL,3.1,151,643,561,84,166,43,5,10,86,37,10,69,82,0.296,0.369,0.444,0.813,110,0.372,113,249,16,1,3,9,2,47D/H8,,deshide01
62,Jim Edmonds*,30,STL,NL,6.3,152,643,525,129,155,25,0,42,108,10,3,103,167,0.295,0.411,0.583,0.994,147,0.435,152,306,5,6,1,8,3,*8/3H,ASMVP-4GG,edmonji01
63,Édgar Rentería,23,STL,NL,2.2,150,643,562,94,156,32,1,16,76,21,13,63,77,0.278,0.346,0.423,0.77,93,0.352,98,238,19,1,8,9,3,*6/H,ASSS,renteed01
64,Vladimir Guerrero,25,MON,NL,6,154,641,571,101,197,28,11,44,123,9,10,58,74,0.345,0.41,0.664,1.074,162,0.444,163,379,15,8,0,4,23,*9/DH,ASMVP-6SS,guerrvl01
