Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Vada Pinson*,21,CIN,NL,5.6,154,707,652,107,187,37,12,20,61,32,12,47,96,0.287,0.339,0.472,0.811,118,0.379,126,308,11,5,1,1,3,*8,ASASMVP-18,pinsova01
2,Nellie Fox*,32,CHW,AL,4,150,684,605,85,175,24,10,2,59,2,4,50,13,0.289,0.351,0.372,0.723,96,0.343,98,225,11,10,14,5,2,*4/H,ASASMVP-18GG,foxne01
3,Ernie Banks,29,CHC,NL,7.9,156,678,597,94,162,32,7,41,117,1,3,71,69,0.271,0.35,0.554,0.904,146,0.392,144,331,14,4,0,6,28,*6,ASASMVP-4GG,bankser01
4,Bill Bruton*,34,MLN,NL,3.7,151,677,629,112,180,27,13,12,54,22,13,41,97,0.286,0.33,0.428,0.758,114,0.351,119,269,4,2,1,4,1,*8/H,,brutobi01
5,Richie Ashburn*,33,CHC,NL,4.4,151,672,547,99,159,16,5,0,40,16,4,116,50,0.291,0.415,0.338,0.753,112,0.37,123,185,4,1,7,1,1,*87/H,,ashburi01
6,Eddie Mathews*,28,MLN,NL,7.3,153,671,548,108,152,19,7,39,124,7,3,111,113,0.277,0.397,0.551,0.948,166,0.416,166,302,8,2,4,6,3,*5,ASASMVP-10,matheed01
7,Luis Aparicio,26,CHW,AL,5.6,153,670,600,86,166,20,7,2,61,51,8,43,39,0.277,0.323,0.343,0.666,81,0.338,84,206,12,1,20,6,3,*6,ASASMVP-21GG,aparilu01
8,Jim Gilliam#,31,LAD,NL,4.4,151,670,557,96,138,20,2,5,40,12,9,96,28,0.248,0.359,0.318,0.677,83,0.335,94,177,6,3,9,4,1,*54/H,,gilliji01
9,Minnie Miñoso,36,CHW,AL,2.8,154,670,591,89,184,32,4,20,105,17,13,52,63,0.311,0.374,0.481,0.855,130,0.391,135,284,16,13,5,9,2,*7/9,ASASMVP-4GG,minosmi01
10,Willie Mays,29,SFG,NL,9.5,153,669,595,107,190,29,12,29,103,25,10,61,70,0.319,0.381,0.555,0.936,160,0.423,167,330,15,4,0,9,11,*8/H,ASASMVP-3GG,mayswi01
11,Henry Aaron,26,MLN,NL,8,153,664,590,102,172,20,11,40,126,16,7,60,63,0.292,0.352,0.566,0.919,156,0.406,158,334,8,2,0,12,13,*9/84,ASASMVP-11GG,aaronha01
12,Brooks Robinson,23,BAL,AL,4.1,152,651,595,74,175,27,9,14,88,2,2,35,49,0.294,0.329,0.44,0.769,108,0.354,107,262,29,0,13,8,0,*5/4,ASASMVP-3GG,robinbr01
13,Billy Gardner,32,WSH,AL,0.6,145,649,592,71,152,26,5,9,56,0,4,43,76,0.257,0.313,0.363,0.676,81,0.319,81,215,13,6,7,1,0,*46,,gardnbi02
14,Frank Malzone,30,BOS,AL,0.9,152,647,595,60,161,30,2,14,79,2,3,36,42,0.271,0.313,0.398,0.711,89,0.334,90,237,20,4,4,8,4,*5/H,ASAS,malzofr01
15,Mickey Mantle#,28,NYY,AL,6.4,153,644,527,119,145,17,6,40,94,14,3,111,125,0.275,0.399,0.558,0.957,162,0.429,161,294,11,1,0,5,6,*8/H,ASASMVP-2,mantlmi01
16,Bob Skinner*,28,PIT,NL,1.7,145,640,571,83,156,33,6,15,86,11,8,59,86,0.273,0.34,0.431,0.771,109,0.351,110,246,13,1,5,4,11,*7/H,ASAS,skinnbo01
17,Tony Taylor,24,2TM,NL,1.9,146,640,581,80,165,25,7,5,44,26,11,41,98,0.284,0.331,0.377,0.708,95,0.333,96,219,11,3,9,6,2,*4/5H,ASAS,tayloto02
17,Tony Taylor,24,CHC,NL,0.1,19,89,76,14,20,3,3,1,9,2,0,8,12,0.263,0.337,0.421,0.758,109,0.354,110,32,1,1,3,1,0,4,,tayloto02
17,Tony Taylor,24,PHI,NL,1.8,127,551,505,66,145,22,4,4,35,24,11,33,86,0.287,0.33,0.37,0.701,93,0.329,94,187,10,2,6,5,2,*4/5H,,tayloto02
18,Don Hoak,32,PIT,NL,5.4,155,636,553,97,156,24,9,16,79,3,2,74,74,0.282,0.366,0.445,0.81,120,0.381,131,246,17,1,4,4,9,*5/H,MVP-2,hoakdo01
19,Eddie Yost,33,DET,AL,1.8,143,636,497,78,129,23,2,14,47,5,4,125,69,0.26,0.414,0.398,0.812,118,0.388,126,198,11,8,3,3,1,*5/H,,yosted01
20,Bill Tuttle,30,KCA,AL,1.4,151,635,559,75,143,21,3,8,40,1,5,66,52,0.256,0.336,0.347,0.683,85,0.333,92,194,19,2,7,1,2,*8/H,,tuttlbi01
21,Jerry Lumpe*,27,KCA,AL,1.1,146,630,574,69,156,19,3,8,53,1,1,48,49,0.272,0.326,0.357,0.683,85,0.32,81,205,14,0,4,4,1,*46/H,,lumpeje01
22,Dick Groat,29,PIT,NL,6.1,138,629,573,85,186,26,4,2,50,0,2,39,35,0.325,0.371,0.394,0.766,110,0.358,116,226,7,4,12,1,0,*6/H,ASASMVP-1,groatdi01
23,Al Kaline,25,DET,AL,2.5,147,629,551,77,153,29,4,15,68,19,4,65,47,0.278,0.354,0.426,0.781,107,0.373,112,235,18,3,5,5,3,*8/H,ASAS,kalinal01
24,Tito Francona*,26,CLE,AL,3.4,147,625,544,84,159,36,2,17,79,4,1,67,67,0.292,0.372,0.46,0.832,127,0.383,129,250,11,5,3,5,7,*73/H9,,francti01
25,Vic Power,32,CLE,AL,2,147,625,580,69,167,26,3,10,84,9,5,24,20,0.288,0.313,0.395,0.707,93,0.33,92,229,12,0,14,7,5,*3/65,ASASMVP-18GG,powervi01
26,Roberto Clemente,25,PIT,NL,4,144,620,570,89,179,22,6,16,94,4,5,39,72,0.314,0.357,0.458,0.815,121,0.375,127,261,21,2,4,5,4,*9/H,ASASMVP-8,clemero01
27,Tony Kubek*,24,NYY,AL,3.8,147,618,568,77,155,25,3,14,62,3,0,31,42,0.273,0.312,0.401,0.713,96,0.332,93,228,13,3,12,4,5,*67/H89,MVP-11,kubekto01
28,Ken Boyer,29,STL,NL,6.8,151,616,552,95,168,26,10,32,97,8,7,56,77,0.304,0.37,0.562,0.932,144,0.416,151,310,13,4,0,4,10,*5/H,ASASMVP-6GG,boyerke01
29,Rocky Colavito,26,DET,AL,1.1,145,616,555,67,138,18,1,35,87,3,6,53,80,0.249,0.317,0.474,0.791,108,0.354,104,263,17,4,1,3,4,*9/H,,colavro01
30,Orlando Cepeda,22,SFG,NL,4.3,151,615,569,81,169,36,3,24,96,15,6,34,91,0.297,0.343,0.497,0.84,134,0.385,140,283,11,8,0,4,9,73/H,ASAS,cepedor01
31,Pete Runnels*,32,BOS,AL,4.7,143,613,528,80,169,29,2,2,35,5,2,71,51,0.32,0.401,0.394,0.795,114,0.386,126,208,16,2,9,3,2,*43/5H,ASASMVP-17,runnepe01
32,Jim Lemon,32,WSH,AL,2.1,148,612,528,81,142,10,1,38,100,2,0,67,114,0.269,0.354,0.508,0.861,129,0.388,128,268,9,7,0,9,8,*7/H,ASASMVP-10,lemonji01
33,Ron Hansen,22,BAL,AL,3.9,153,606,530,72,135,22,5,22,86,3,3,69,94,0.255,0.342,0.44,0.781,111,0.362,113,233,18,2,1,2,5,*6/H,ASASMVP-5ROY-1,hansero02
34,Bill White*,26,STL,NL,2.2,144,606,554,81,157,27,10,16,79,12,6,42,83,0.283,0.334,0.455,0.789,107,0.358,107,252,9,2,5,3,1,*38/H7,ASASGG,whitebi03
