Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards,Player-additional
353,Bobby Hogue,29,BSN,NL,0.1,36,15,13,1,3,1,0,0,3,0,0,1,2,0.231,0.286,0.308,0.593,60,0.273,56,4,0,0,1,0,1,,hoguebo01
354,Ken Holcombe,31,CHW,AL,-0.2,24,34,32,2,5,1,0,0,0,0,0,0,8,0.156,0.156,0.188,0.344,-11,0.153,-44,6,1,0,2,0,1,,holcoke01
355,Stan Hollmig,24,PHI,NL,0,11,12,12,1,3,2,0,0,1,0,0,0,3,0.25,0.25,0.417,0.667,73,0.285,63,5,1,0,0,0,/H79,,hollmst01
356,Ralph Houk,30,NYY,AL,-0.1,10,9,9,0,1,1,0,0,1,0,0,0,2,0.111,0.111,0.222,0.333,-15,0.141,-42,2,0,0,0,0,/2H,,houkra01
357,Frank House*,20,DET,AL,0.1,5,5,5,1,2,1,0,0,0,0,0,0,1,0.4,0.4,0.6,1,150,0.445,151,3,0,0,0,0,/2H,,housefr03
358,Art Houtteman,22,DET,AL,-0.3,41,109,93,5,14,4,1,0,3,0,0,5,20,0.151,0.194,0.215,0.409,3,0.191,-29,20,3,0,11,0,1,ASMVP-24,houttar01
359,Sid Hudson,35,WSH,AL,-0.1,31,97,93,10,20,1,1,0,12,0,0,1,7,0.215,0.223,0.247,0.471,23,0.222,9,23,7,0,3,0,1/H,,hudsosi01
360,Fred Hutchinson*,30,DET,AL,1.2,44,112,95,15,31,7,0,0,20,0,0,12,3,0.326,0.407,0.4,0.807,105,0.388,113,38,2,1,4,0,1/H,,hutchfr01
361,Don Johnson,23,2TM,AL,-0.5,33,36,32,0,2,0,0,0,1,0,0,1,7,0.063,0.091,0.063,0.153,-61,0.076,-108,2,2,0,3,0,1,,johnsdo03
361,Don Johnson,23,NYY,AL,-0.1,8,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,-0.009,-139,0,1,0,0,0,/1,,johnsdo03
361,Don Johnson,23,SLB,AL,-0.4,25,33,29,0,2,0,0,0,1,0,0,1,6,0.069,0.1,0.069,0.169,-57,0.085,-105,2,1,0,3,0,1,,johnsdo03
362,Earl Johnson*,31,BOS,AL,0,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0.007,-144,0,0,0,0,0,1,,johnsea01
363,Ernie Johnson,26,BSN,NL,0,16,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,171,0.46,188,1,0,0,0,0,1,,johnser02
364,Ken Johnson*,27,2TM,NL,0,23,20,19,4,3,0,0,0,0,0,0,1,3,0.158,0.2,0.158,0.358,-4,0.172,-14,3,0,0,0,0,1/H,,johnske01
364,Ken Johnson*,27,STL,NL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,johnske01
364,Ken Johnson*,27,PHI,NL,0,21,20,19,4,3,0,0,0,0,0,0,1,3,0.158,0.2,0.158,0.358,-4,0.172,-14,3,0,0,0,0,1/H,,johnske01
365,Nippy Jones,25,STL,NL,-0.2,13,29,26,0,6,1,0,0,6,0,0,3,1,0.231,0.31,0.269,0.58,52,0.28,54,7,3,0,0,0,/3H,,jonesni01
366,Sheldon Jones,28,NYG,NL,-0.5,40,72,57,3,6,0,0,0,3,0,1,5,22,0.105,0.177,0.105,0.283,-24,0.128,-64,6,3,0,10,0,1,,jonessh01
367,Spider Jorgensen*,30,2TM,NL,-0.2,26,45,39,5,5,0,0,0,5,0,0,6,2,0.128,0.244,0.128,0.373,1,0.201,3,5,0,0,0,0,H/5,,jorgesp01
367,Spider Jorgensen*,30,BRO,NL,0,2,3,2,0,0,0,0,0,1,0,0,1,0,0,0.333,0,0.333,-5,0.245,29,0,0,0,0,0,/H5,,jorgesp01
367,Spider Jorgensen*,30,NYG,NL,-0.2,24,42,37,5,5,0,0,0,4,0,0,5,2,0.135,0.238,0.135,0.373,1,0.198,1,5,0,0,0,0,H/5,,jorgesp01
368,Howie Judson,25,CHW,AL,0,46,27,20,1,2,1,0,0,0,0,0,3,5,0.1,0.217,0.15,0.367,-3,0.192,-29,3,0,0,4,0,1,,judsoho01
369,Alex Kellner,25,PHA,AL,-0.1,36,84,80,5,16,1,0,0,3,0,0,4,13,0.2,0.238,0.213,0.451,17,0.218,8,17,4,0,0,0,1,,kellnal01
370,Ken Keltner,33,BOS,AL,0,13,32,28,2,9,2,0,0,2,0,0,3,6,0.321,0.387,0.393,0.78,92,0.366,92,11,2,0,1,0,/5H3,,keltnke01
371,Bill Kennedy*,29,SLB,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,kennebi02
372,Monty Kennedy,28,NYG,NL,-0.5,36,39,36,4,2,0,0,0,1,0,0,0,6,0.056,0.081,0.056,0.137,-63,0.069,-97,2,0,1,2,0,1,,kennemo01
373,Gus Keriazakos,18,CHW,AL,0.1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,420,0.943,469,1,0,0,0,0,/1,,keriagu01
374,Joe Kirrene,18,CHW,AL,0,1,4,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,30,0.229,14,1,0,0,0,0,/5,,kirrejo01
375,Ed Klieman,32,PHA,AL,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0.007,-123,0,0,0,0,0,/1,,kliemed01
376,Jim Konstanty,33,PHI,NL,-0.3,74,39,37,0,4,0,0,0,3,0,0,0,13,0.108,0.108,0.108,0.216,-42,0.089,-79,4,1,0,2,0,1,ASMVP-1,konstji01
377,Chuck Kress*,28,CHW,AL,-0.3,3,9,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,-0.005,-169,0,1,0,1,0,/3H,,kressch01
378,Lou Kretlow,29,2TM,AL,-0.1,21,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,-0.006,-142,0,0,0,0,0,1/H,,kretllo01
378,Lou Kretlow,29,SLB,AL,-0.1,10,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,-0.009,-145,0,0,0,0,0,/1H,,kretllo01
378,Lou Kretlow,29,CHW,AL,-0.1,11,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,-0.005,-140,0,0,0,0,0,1,,kretllo01
379,Johnny Kucab,30,PHA,AL,0,4,10,9,0,1,0,0,0,1,0,0,1,1,0.111,0.2,0.111,0.311,-18,0.171,-24,1,0,0,0,0,/1,,kucabjo01
380,Clem Labine,23,BRO,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,labincl01
381,Doyle Lade,29,CHC,NL,0.4,34,40,35,5,10,2,0,0,1,0,0,3,4,0.286,0.342,0.343,0.685,82,0.317,83,12,1,0,2,0,1,,ladedo01
382,Eddie Lake,34,DET,AL,-0.1,20,8,7,3,0,0,0,0,1,0,0,1,3,0,0.125,0,0.125,-66,0.083,-88,0,0,0,0,0,H/56,,lakeed01
383,Hobie Landrith*,20,CIN,NL,0,4,16,14,1,3,0,0,0,1,0,0,2,1,0.214,0.313,0.214,0.527,41,0.264,46,3,0,0,0,0,/2,,landrho01
384,Joe Landrum,21,BRO,NL,0,7,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,1,0,/1,,landrjo01
385,Max Lanier,34,STL,NL,-0.1,27,75,68,5,11,1,1,0,10,0,0,3,10,0.162,0.197,0.206,0.403,4,0.187,-16,14,3,0,4,0,1,,laniema01
386,Vern Law,20,PIT,NL,-0.3,27,44,41,0,3,0,1,0,1,0,0,1,14,0.073,0.136,0.122,0.258,-32,0.121,-54,5,1,2,0,0,1,,lawve01
387,Steve Lembo,23,BRO,NL,-0.1,5,7,6,0,1,0,0,0,0,0,0,1,0,0.167,0.286,0.167,0.452,21,0.239,27,1,1,0,0,0,/2,,lembost01
388,Dutch Leonard,41,CHC,NL,-0.2,35,17,16,0,1,0,0,0,0,0,0,0,5,0.063,0.063,0.063,0.125,-67,0.05,-111,1,0,0,1,0,1,,leonadu02
389,Walt Linden,26,BSN,NL,0.1,3,6,5,0,2,1,0,0,0,0,0,1,0,0.4,0.5,0.6,1.1,195,0.49,207,3,0,0,0,0,/2H,,lindewa01
390,Dick Littlefield*,24,BOS,AL,-0.1,15,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,-0.028,-166,0,0,0,0,0,1,,littldi01
391,Billy Loes,20,BRO,NL,0,10,2,1,1,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,43,0.342,96,0,0,0,0,0,1,,loesbi01
