Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards,Player-additional
451,Duane Pillette,27,NYY,AL,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,pilledu01
451,Duane Pillette,27,SLB,AL,-0.1,27,25,22,2,3,1,0,0,0,0,0,2,5,0.136,0.208,0.182,0.39,-1,0.192,-22,4,1,0,1,0,1/H,,pilledu01
452,Bud Podbielan,26,BRO,NL,-0.2,20,31,28,1,3,1,0,0,1,0,0,1,4,0.107,0.138,0.143,0.281,-27,0.132,-56,4,1,0,2,0,1,,podbibu01
453,Tom Poholsky,20,STL,NL,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0.007,-129,0,0,0,0,0,/1,,poholto01
454,Howie Pollet*,29,STL,NL,-0.3,38,91,84,7,12,2,0,0,3,0,0,5,18,0.143,0.191,0.167,0.358,-7,0.169,-25,14,2,0,2,0,1/H,,polleho01
455,Bob Porterfield,26,NYY,AL,0.1,11,4,3,0,1,0,0,0,0,0,0,0,0,0.333,0.5,0.333,0.833,119,0.435,150,1,0,1,0,0,1/H,,portebo01
456,Mel Queen,32,PIT,NL,-0.4,33,38,35,0,2,0,0,0,0,0,0,1,6,0.057,0.083,0.057,0.14,-63,0.07,-99,2,0,0,2,0,1,,queenme01
457,Frank Quinn,22,BOS,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,quinnfr02
458,Marv Rackley*,28,CIN,NL,,5,2,2,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1,164,0.46,179,1,0,0,0,0,/H,,racklma01
459,Willie Ramsdell,34,2TM,NL,0.1,32,64,53,1,10,0,0,0,2,0,0,5,9,0.189,0.259,0.189,0.447,20,0.218,7,10,0,0,6,0,1,,ramsdwi01
459,Willie Ramsdell,34,BRO,NL,0,5,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,-0.008,-146,0,0,0,0,0,/1,,ramsdwi01
459,Willie Ramsdell,34,CIN,NL,0.2,27,61,50,1,10,0,0,0,2,0,0,5,8,0.2,0.273,0.2,0.473,27,0.23,15,10,0,0,6,0,1,,ramsdwi01
460,Ribs Raney,27,SLB,AL,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,-0.039,-162,0,0,0,0,0,/1,,raneyri01
461,Nap Reyes,30,NYG,NL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0.007,-125,0,0,0,0,0,/3,,reyesna01
462,Allie Reynolds,33,NYY,AL,0.2,36,98,81,5,15,3,1,0,9,0,0,7,16,0.185,0.258,0.247,0.505,31,0.244,17,20,2,1,9,0,1/H,AS,reynoal01
463,Steve Ridzik,21,PHI,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,ridzist01
464,Bill Rigney,32,NYG,NL,-0.5,56,92,83,8,15,2,0,0,8,0,0,8,13,0.181,0.253,0.205,0.458,21,0.221,16,17,3,0,1,0,H45,,rignebi01
465,Bob Rinker,29,PHA,AL,0,3,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,72,0.319,74,1,0,0,0,0,/H2,,rinkebo01
466,Robin Roberts#,23,PHI,NL,-0.5,40,117,102,1,12,0,0,0,7,0,0,8,39,0.118,0.182,0.118,0.299,-19,0.142,-43,12,3,0,7,0,1,ASMVP-7,roberro01
467,Preacher Roe,34,BRO,NL,-0.5,36,101,91,8,14,1,0,0,3,0,0,2,27,0.154,0.172,0.165,0.337,-12,0.15,-45,15,1,0,8,0,1,ASMVP-17,roepr01
468,Stan Rojek,31,PIT,NL,0.1,76,253,230,28,59,12,1,0,17,2,1,18,13,0.257,0.313,0.317,0.631,64,0.296,64,73,4,1,4,0,6/H4,,rojekst01
469,Jim Romano,23,BRO,NL,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0.007,-125,0,0,0,0,0,/1,,romanji01
470,Bob Ross,21,WSH,AL,-0.1,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0.007,-126,0,1,0,0,0,/1,,rossbo01
471,Marv Rotblatt#,22,CHW,AL,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,-0.016,-148,0,0,0,0,0,/1,,rotblma01
472,Normie Roy,21,BSN,NL,0,19,21,18,1,3,0,0,0,0,0,0,2,4,0.167,0.25,0.167,0.417,15,0.206,9,3,1,0,1,0,1,,royno01
473,Dick Rozek*,23,CLE,AL,-0.1,12,6,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,-0.021,-197,0,0,0,1,0,1,,rozekdi01
474,Rudy Rufer,23,NYG,NL,-0.1,15,11,11,1,1,0,0,0,0,1,0,0,1,0.091,0.091,0.091,0.182,-52,0.108,-76,1,0,0,0,0,/6H,,ruferru01
475,Bill Salkeld*,33,CHW,AL,-0.1,1,4,3,0,0,0,0,0,0,0,0,1,0,0,0.25,0,0.25,-31,0.007,-205,0,0,0,0,1,/2,,salkebi01
476,Fred Sanford#,30,NYY,AL,0.1,26,37,35,4,8,2,0,0,3,0,0,1,6,0.229,0.25,0.286,0.536,39,0.248,25,10,1,0,1,0,1,,sanfofr01
477,Jerry Scala*,25,CHW,AL,-0.5,40,77,67,8,13,2,1,0,6,0,0,10,10,0.194,0.299,0.254,0.552,44,0.275,45,17,2,0,0,0,8H/7,,scalaje01
478,Ray Scarborough,32,2TM,AL,-0.2,35,74,66,3,10,1,0,0,4,0,0,4,11,0.152,0.2,0.167,0.367,-4,0.181,-22,11,3,0,4,0,1,AS,scarbra01
478,Ray Scarborough,32,WSH,AL,-0.1,8,21,20,2,2,1,0,0,0,0,0,1,4,0.1,0.143,0.15,0.293,-23,0.14,-41,3,1,0,0,0,/1,,scarbra01
478,Ray Scarborough,32,CHW,AL,-0.1,27,53,46,1,8,0,0,0,4,0,0,3,7,0.174,0.224,0.174,0.398,4,0.199,-14,8,2,0,4,0,1,,scarbra01
479,Sid Schacht,32,SLB,AL,0,9,3,2,2,0,0,0,0,0,0,0,1,0,0,0.333,0,0.333,-10,0.256,26,0,1,0,0,0,/1H,,schacsi01
480,Charley Schanz,31,BOS,AL,-0.1,14,12,11,2,1,0,0,0,0,0,0,1,5,0.091,0.167,0.091,0.258,-35,0.128,-63,1,0,0,0,0,1,,schanch01
481,Bob Scherbarth,24,BOS,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/2,,scherbo01
482,Johnny Schmitz,29,CHC,NL,-0.4,39,70,67,3,8,2,0,0,5,0,0,1,19,0.119,0.132,0.149,0.282,-26,0.123,-53,10,0,0,2,0,1,,schmijo01
483,Charlie Silvera,25,NYY,AL,-0.4,18,26,25,2,4,0,0,0,1,0,0,1,2,0.16,0.192,0.16,0.352,-8,0.176,-20,4,0,0,0,0,2/H,,silvech01
484,Ken Silvestri#,34,PHI,NL,0.1,11,26,20,2,5,0,1,0,4,0,0,4,3,0.25,0.4,0.35,0.75,101,0.356,111,7,2,1,1,0,/2H,,silveke01
485,Al Sima,28,WSH,AL,-0.4,17,27,26,1,3,0,0,0,0,0,1,0,15,0.115,0.115,0.115,0.231,-40,0.067,-83,3,2,0,1,0,1,,simaal01
486,Curt Simmons*,21,PHI,NL,0,34,86,77,11,12,0,0,0,3,0,0,6,10,0.156,0.217,0.156,0.373,1,0.184,-9,12,1,0,3,0,1/H,MVP-16,simmocu01
487,Elmer Singleton,32,WSH,AL,0.2,21,8,7,1,3,1,0,0,0,0,0,0,3,0.429,0.429,0.571,1,160,0.441,164,4,0,0,1,0,1,,singlel01
488,Lou Sleater*,23,SLB,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,sleatlo01
489,Frank Smith,22,CIN,NL,-0.2,38,21,21,1,2,0,0,0,0,0,0,0,9,0.095,0.095,0.095,0.19,-50,0.074,-83,2,1,0,0,0,1,,smithfr06
490,Bill Sommers,27,SLB,AL,-0.2,65,170,137,24,35,5,1,0,14,0,1,25,14,0.255,0.37,0.307,0.677,72,0.333,77,42,5,0,8,0,54H,,sommebi01
491,George Spencer,23,NYG,NL,-0.1,10,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,-0.038,-162,0,0,0,0,0,1,,spencge01
492,Gerry Staley,29,STL,NL,-0.2,42,62,55,5,8,2,0,0,0,0,0,3,9,0.145,0.19,0.182,0.371,-3,0.175,-26,10,3,0,4,0,1,,stalege01
493,Dick Starr,29,SLB,AL,-0.3,33,41,36,3,5,0,0,0,1,0,0,1,16,0.139,0.162,0.139,0.301,-24,0.134,-71,5,0,0,4,0,1/H,,starrdi01
494,Ed Stevens*,25,PIT,NL,-0.3,17,50,46,2,9,2,0,0,3,0,0,4,5,0.196,0.26,0.239,0.499,31,0.238,26,11,1,0,0,0,3/H,,steveed01
495,Chuck Stobbs*,20,BOS,AL,0.5,32,73,57,8,14,1,0,0,9,0,0,12,16,0.246,0.377,0.263,0.64,60,0.321,61,15,1,0,4,0,1,,stobbch01
496,George Strickland,24,PIT,NL,-0.4,23,32,27,0,3,0,0,0,2,0,0,3,8,0.111,0.226,0.111,0.337,-9,0.177,-20,3,0,1,1,0,6/H5,,stricge01
497,Lou Stringer,33,BOS,AL,-0.2,24,17,17,7,5,1,0,0,2,1,0,0,4,0.294,0.294,0.353,0.647,59,0.307,44,6,1,0,0,0,H/546,,strinlo01
498,Marlin Stuart*,31,DET,AL,-0.1,19,14,12,2,1,0,0,0,0,0,0,1,1,0.083,0.154,0.083,0.237,-39,0.133,-66,1,0,0,1,0,1,,stuarma01
499,Paul Stuffel,23,PHI,NL,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,stuffpa01
500,Jim Suchecki,22,BOS,AL,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,sucheji01
501,Fred Taylor*,25,WSH,AL,-0.2,6,17,16,1,2,0,0,0,0,0,0,1,2,0.125,0.176,0.125,0.301,-20,0.156,-31,2,0,0,0,0,/3H,,taylofr01
502,Harry Taylor,31,BOS,AL,0,3,7,7,1,2,0,0,0,0,0,0,0,0,0.286,0.286,0.286,0.571,41,0.274,32,2,0,0,0,0,/1,,tayloha03
503,Jocko Thompson*,33,PHI,NL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,thompjo01
504,Virgil Trucks,33,DET,AL,-0.1,7,20,20,2,3,1,0,0,0,0,0,0,2,0.15,0.15,0.2,0.35,-12,0.161,-36,4,0,0,0,0,/1,,truckvi01
505,Chris Van Cuyk*,23,BRO,NL,-0.1,12,11,10,0,1,0,0,0,1,0,0,0,0,0.1,0.1,0.1,0.2,-48,0.098,-86,1,0,0,1,0,1,,vancuch01
506,Johnny Vander Meer#,35,CHC,NL,0,35,17,16,1,2,0,1,0,0,0,0,1,9,0.125,0.176,0.25,0.426,11,0.174,-14,4,0,0,0,0,1/H,,vandejo01
507,Andy Varga,19,CHC,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,vargaan01
508,Emil Verban,34,2TM,NL,-0.7,49,48,42,8,4,1,0,0,1,0,0,3,5,0.095,0.156,0.119,0.275,-26,0.139,-46,5,0,0,3,0,H4/658,,verbaem01
508,Emil Verban,34,CHC,NL,-0.5,45,43,37,7,4,1,0,0,1,0,0,3,5,0.108,0.175,0.135,0.31,-17,0.155,-36,5,0,0,3,0,H/4658,,verbaem01
508,Emil Verban,34,BSN,NL,-0.2,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0.007,-122,0,0,0,0,0,/4H,,verbaem01
509,Bill Voiselle,31,CHC,NL,-0.2,19,13,13,0,1,0,0,0,0,0,0,0,3,0.077,0.077,0.077,0.154,-59,0.067,-86,1,1,0,0,0,1,,voisebi01
510,Dick Wakefield*,29,NYY,AL,,3,3,2,0,1,0,0,0,1,0,0,1,1,0.5,0.667,0.5,1.167,206,0.553,226,1,0,0,0,0,/H,,wakefdi01
511,Harry Walker*,31,STL,NL,-0.7,60,168,150,17,31,5,0,0,7,0,1,18,12,0.207,0.292,0.24,0.532,39,0.256,40,36,2,0,0,0,8H/793,,walkeha01
512,Murray Wall,23,BSN,NL,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,-0.038,-150,0,0,0,0,0,/1,,wallmu01
513,Junior Walsh,31,PIT,NL,0.1,38,9,6,2,1,1,0,0,1,0,1,3,4,0.167,0.444,0.333,0.778,106,0.309,114,2,0,0,0,0,1,,walshju01
514,Bucky Walters,41,BSN,NL,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0.007,-117,0,0,0,0,0,/1,,waltebu01
515,Roy Weatherly*,35,NYG,NL,0.1,52,83,69,10,18,3,3,0,11,0,1,13,10,0.261,0.378,0.391,0.769,102,0.342,103,27,3,0,1,1,H7/89,,weathro01
516,Herm Wehmeier,23,CIN,NL,-0.4,54,94,92,8,14,3,0,0,3,0,0,1,19,0.152,0.161,0.185,0.346,-9,0.154,-30,17,3,0,1,0,1H,,wehmehe01
517,Dick Weik,22,2TM,AL,-0.1,25,18,18,0,3,1,0,0,0,0,0,0,7,0.167,0.167,0.222,0.389,1,0.165,-25,4,0,0,0,0,1,,weikdi01
517,Dick Weik,22,WSH,AL,-0.1,14,13,13,0,2,0,0,0,0,0,0,0,3,0.154,0.154,0.154,0.308,-19,0.14,-42,2,0,0,0,0,1,,weikdi01
517,Dick Weik,22,CLE,AL,0,11,5,5,0,1,1,0,0,0,0,0,0,4,0.2,0.2,0.4,0.6,53,0.23,17,2,0,0,0,0,1,,weikdi01
518,Dick Welteroth,22,WSH,AL,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,weltedi01
519,Bill Werle*,29,PIT,NL,0.1,48,75,67,4,13,1,1,0,0,0,0,6,22,0.194,0.26,0.239,0.499,31,0.229,18,16,1,0,2,0,1,,werlebi01
520,Hal White,31,DET,AL,-0.3,42,35,33,1,4,2,0,0,1,0,0,0,10,0.121,0.121,0.182,0.303,-24,0.128,-67,6,1,0,2,0,1,,whiteha01
521,Dick Whitman*,29,PHI,NL,-0.1,75,145,132,21,33,7,0,0,12,1,1,10,10,0.25,0.317,0.303,0.62,65,0.291,68,40,4,3,0,0,H98/7,,whitmdi01
522,Al Widmar,25,SLB,AL,-0.4,36,72,67,1,10,2,0,0,4,0,0,3,22,0.149,0.186,0.179,0.365,-8,0.169,-35,12,3,0,2,0,1,,widmaal01
523,Bill Wight*,28,CHW,AL,-1.1,30,75,61,2,0,0,0,0,2,0,0,4,17,0,0.062,0,0.062,-83,0.032,-141,0,1,0,10,0,1,,wightbi01
524,Ted Wilks,34,STL,NL,-0.1,18,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,-0.004,-140,0,0,0,0,0,1,,wilkste01
525,Bill Wilson,21,CHW,AL,-0.1,3,8,6,0,0,0,0,0,0,0,0,2,2,0,0.25,0,0.25,-31,0.182,-16,0,0,0,0,0,/8H,,wilsobi02
526,Hank Workman*,24,NYY,AL,-0.1,2,5,5,1,1,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,4,0.185,-14,1,0,0,0,0,/3H,,workmha01
527,Tom Wright*,26,BOS,AL,-0.1,54,115,107,17,34,7,0,0,20,0,0,6,18,0.318,0.36,0.383,0.743,83,0.347,80,41,2,1,1,0,H9/7,,wrighto01
528,Hank Wyse,32,PHA,AL,-0.4,41,64,59,4,9,0,0,0,4,0,0,1,14,0.153,0.167,0.153,0.319,-17,0.149,-48,9,4,0,3,0,1,,wyseha01
529,Sal Yvars,26,NYG,NL,0,9,15,14,0,2,0,0,0,0,0,0,1,2,0.143,0.2,0.143,0.343,-8,0.17,-19,2,0,0,0,0,/2,,yvarssa01
530,Sam Zoldak*,31,CLE,AL,0.1,33,19,16,2,3,0,0,0,2,0,0,2,0,0.188,0.316,0.188,0.503,33,0.274,46,3,1,1,0,0,1,,zoldasa01
,League Average,,,,,,,,,,,,,,,,,,0.266,0.346,0.402,0.748,100,0.342,100,,,,,,,,-9999
