Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
334,Duane Kuiper*,30,CLE,AL,0.3,42,166,149,10,42,5,0,0,9,0,1,13,8,0.282,0.337,0.315,0.653,80,0.311,80,47,1,0,3,1,3,4,,kuipedu01
335,Thad Bosley*,23,CHW,AL,-1,70,162,147,12,33,2,0,2,14,3,2,10,27,0.224,0.272,0.279,0.551,53,0.245,33,41,5,0,4,1,3,H78/9D,,bosleth01
336,César Gerónimo*,32,CIN,NL,0.3,103,162,145,16,37,5,0,2,9,2,1,14,24,0.255,0.319,0.331,0.65,82,0.311,81,48,2,0,2,1,3,8H,,geronce01
337,Doug Ault,30,TOR,AL,-0.4,64,161,144,12,28,5,1,3,15,0,1,14,23,0.194,0.273,0.306,0.579,56,0.277,54,44,3,2,0,1,0,3DH/7,,aultdo01
338,Bill Almon,27,2TM,NL,-0.7,66,160,150,15,29,4,3,0,7,2,0,9,32,0.193,0.238,0.26,0.498,41,0.247,35,39,2,0,0,1,1,64H/5,,almonbi01
338,Bill Almon,27,MON,NL,-0.3,18,40,38,2,10,1,1,0,3,0,0,1,5,0.263,0.275,0.342,0.617,72,0.274,56,13,2,0,0,1,0,6/H4,,almonbi01
338,Bill Almon,27,NYM,NL,-0.4,48,120,112,13,19,3,2,0,4,2,0,8,27,0.17,0.225,0.232,0.457,30,0.238,28,26,0,0,0,0,1,64/5H,,almonbi01
339,Max Venable*,23,SFG,NL,-0.7,64,157,138,13,37,5,0,0,10,8,2,15,22,0.268,0.333,0.304,0.638,82,0.31,80,42,3,0,1,3,0,H789,,venabma01
340,Marv Foley*,26,CHW,AL,-0.3,68,153,137,14,29,5,0,4,15,0,0,9,22,0.212,0.263,0.336,0.599,64,0.267,49,46,0,2,1,4,3,2/H3,,foleyma01
341,Dave Rader*,31,BOS,AL,1.1,50,152,137,14,45,11,0,3,17,1,1,14,12,0.328,0.388,0.474,0.863,130,0.383,126,65,4,0,0,1,1,2H/D,,raderda01
342,Mike Scioscia*,21,LAD,NL,0.4,54,152,134,8,34,5,1,1,8,1,0,12,9,0.254,0.313,0.328,0.641,81,0.305,77,44,2,0,5,1,2,2/H,,sciosmi01
343,Barry Evans,24,SDP,NL,-0.3,73,147,125,11,29,3,2,1,14,1,1,17,21,0.232,0.317,0.312,0.629,82,0.288,73,39,2,0,2,3,1,54H/63,,evansba01
344,Dave Stegman,26,DET,AL,-0.9,65,147,130,12,23,5,0,2,9,1,1,14,23,0.177,0.255,0.262,0.517,41,0.255,39,34,0,0,2,1,0,897H/D,,stegmda01
345,Mike Phillips*,29,STL,NL,0,63,138,128,13,30,5,0,0,7,0,0,9,17,0.234,0.283,0.273,0.556,54,0.263,42,35,7,0,0,1,3,6H/45,,phillmi01
346,Jim Tracy*,24,CHC,NL,-0.4,42,137,122,12,31,3,3,3,9,2,2,13,37,0.254,0.326,0.402,0.728,97,0.325,89,49,1,0,2,0,1,79H/3,,tracyji01
347,Danny Goodwin*,26,MIN,AL,-0.7,55,134,115,12,23,5,0,1,11,0,0,17,32,0.2,0.301,0.27,0.57,54,0.28,51,31,4,0,1,1,0,DH3,,goodwda01
348,Mark Brouhard,24,MIL,AL,0.1,45,133,125,17,29,6,0,5,16,1,0,7,24,0.232,0.278,0.4,0.678,87,0.312,83,50,3,1,0,0,0,D3H/97,,brouhma01
349,Willie McCovey*,42,SFG,NL,-0.7,48,132,113,8,23,8,0,1,16,0,0,13,23,0.204,0.285,0.301,0.586,66,0.272,56,34,3,1,0,3,2,3H,,mccovwi01
350,Dave Rosello,30,CLE,AL,0,71,131,117,16,29,3,0,2,12,0,0,9,19,0.248,0.295,0.325,0.619,70,0.297,69,38,2,0,2,3,0,45/H6D,,roselda01
351,Junior Moore,27,CHW,AL,-0.8,45,130,121,9,31,4,1,1,10,0,2,7,11,0.256,0.295,0.331,0.625,72,0.284,67,40,5,0,1,1,0,5/HD73,,mooreju01
352,Mike Ramsey#,26,STL,NL,-0.2,59,129,126,11,33,8,1,0,8,0,0,3,17,0.262,0.279,0.341,0.62,70,0.295,67,43,2,0,0,0,2,4H6/5,,ramsemi01
353,Gary Thomasson*,28,LAD,NL,-0.4,80,129,111,6,24,3,0,1,12,0,0,17,26,0.216,0.326,0.27,0.596,69,0.285,64,30,3,1,0,0,3,H9/783,,thomaga01
354,Kurt Bevacqua,33,2TM,NL,0.2,84,129,114,5,26,7,1,0,16,1,1,12,8,0.228,0.305,0.307,0.612,74,0.29,72,35,3,1,1,1,0,H5/734,,bevacku01
354,Kurt Bevacqua,33,SDP,NL,0.2,62,79,71,4,19,6,1,0,12,1,1,6,1,0.268,0.321,0.38,0.701,101,0.314,94,27,1,0,1,1,0,H5/743,,bevacku01
354,Kurt Bevacqua,33,PIT,NL,-0.1,22,50,43,1,7,1,0,0,4,0,0,6,7,0.163,0.28,0.186,0.466,32,0.254,38,8,2,1,0,0,0,H/53,,bevacku01
